Rank,Title,Artist,Lyrics,Genre
22,Austin,Dasha,"['Country Pop', 'In English', 'USA', 'Country']","37 ContributorsTranslationsNorsk (bokmål / riksmål)EspañolDeutschAustin (Boots Stop Workin’) Lyrics[Verse 1]
We had a plan, move out of this town, baby
West to the sand, it's all we talked about lately
I'd pack the car, bring your guitar and Jane for smokin'
First thing at dawn, you'd queue the songs and we'd get goin'
But you weren't home, waited on the porch for ya
Sat there alone, all throughout the morn' 'til I
Got a hunch down in my gut and snuck around the back
Empty cans and I'll be damned, your shit was never packed

[Chorus]
Did your boots stop workin'? Did your truck break down? (Truck break down)
Did you burn through money? Did your ex find out? (Ex find out)
Where there's a will, then there's a way, and I'm damn sure you lost it
Didn't even say goodbye, just wish I knew what caused it
Was the whiskey flowin'? Were you in a fight? (In a fight)
Did the nerves come get you? What's your alibi? (Alibi)
I made my way back to LA, and that's where you'll be forgotten
In forty years, you'll still be here, drunk washed up in Austin

[Verse 2]
Hell of a bluff, you had me believin'
How many months did you plan on leavin'?
What happened? Bad habits?
Did you go back? Go batshit?
I loved you, how tragic, oh-oh
You might also like[Chorus]
Did your boots stop workin'? Did your truck break down? (Truck break down)
Did you burn through money? Did your ex find out? (Ex find out)
Where there's a will, then there's a way, and I'm damn sure you lost it
Didn't even say goodbye, just wish I knew what caused it
Was the whiskey flowin'? Were you in a fight? (In a fight)
Did the nerves come get you? What's your alibi? (Alibi)
I made my way back to LA, and that's where you'll be forgotten
In forty years, you'll still be here, drunk washed up in Austin

[Refrain]
(Did your truck break down? Did your ex find out?)Embed"
23,Pink Skies,Zach Bryan,"['Adult Alternative', 'Alternative Country', 'Folk', 'Red Dirt', 'Americana', 'Singer-Songwriter', 'USA', 'In English', 'Country']","23 ContributorsTranslationsPolskiEspañolDeutschPink Skies Lyrics[Verse 1]
The kids are in town for a funeral
So pack the car and dry your eyes
I know they got plenty of young blood left in 'em
And plenty nights under pink skies you taught 'em to enjoy

[Verse 2]
So clean the house, clear the drawers, mop the floors, stand tall
Like no one's ever been here before or at all
And don't you mention all the inches that are scraped on the doorframe
We all know you tiptoed up to 4'1"" back in '08

[Chorus]
If you could see 'em now, you'd be proud
But you'd think they's yuppiеs
Your funeral was beautiful
I bet God hеard you comin'

[Verse 3]
The kids are in town for a funeral
And the grass all smells the same as the day you broke your arm swingin'
On that kid out on the river
You bailed him out, never said a thing about Jesus or the way he's livin'

[Chorus]
If you could see 'em now, you'd be proud
But you'd think they's yuppies
Your funeral was beautiful
I bet God heard you comin'
See Zach Bryan LiveGet tickets as low as $111You might also like[Interlude]
(Strum it)

[Chorus]
If you could see 'em now, you'd be proud
But you'd think they's yuppies
Your funeral was beautiful
I bet God heard you comin'

[Outro]
The kids are in town for a funeral
So pack the car and dry your eyes
I know they got plenty of young blood left in 'em
And plenty nights under pink skies you taught 'em to enjoy2Embed"
24,The Door,Teddy Swims,"['Adult Alternative', 'Soul', 'Alternative R&B', 'R&B', 'Soul Pop', 'USA', 'In English', 'Pop']","20 ContributorsTranslationsفارسیУкраїнськаThe Door Lyrics[Verse 1]
I took a page out of your favorite book
You sold me lies just by the way you look
Taught me a language that I've never speak
Baby, that ain't for me, that, that ain't for me
I dug my grave watchin' the way you move
You took me higher than I ever flew, ooh
Too many times, gave you a second chance
Baby, I'm just a man, I'm, I'm just a man

[Pre-Chorus]
No more thinkin' about you late night
No more runnin' around with your friends now
Done pickin' up pieces of my
Soul up off the floor, oh, oh

[Chorus]
I said I would die for you, baby
But I can't take this pain no more
I thought I was willin'
But tonight I saved my life when I showed you the door
I don't wanna lose you, baby
But I can't play this gamе no more
I thought it would kill me
But tonight I saved my lifе when I showed you the door
See Teddy Swims LiveGet tickets as low as $50You might also like[Verse 2]
You never thought this day would ever come
But I looked you in the eyes and pulled the rug
You tried to take away my sanity
Baby, that ain't for me, that, that ain't for me

[Pre-Chorus]
Oh, no more thinkin' about you late night
No more runnin' around with your friends now
Done pickin' up pieces of my
Soul up out the floor, oh, oh

[Chorus]
I said I would die for you, baby
But I can't take this pain no more
I thought I was willin'
But tonight I saved my life when I showed you the door
I don't wanna lose you, baby
But I can't take this game no more
I thought it would kill me
But tonight I saved my life when I showed you the door

[Post-Chorus]
When I showed you the door
When I showed you the door
But tonight I saved my life
[Chorus]
I said I would die for you, baby
But I can't take this pain no more
I thought I was willin'
But tonight I saved my life when I showed you the door
I don't wanna lose you, baby (I don't wanna lose you, baby)
But I can't take this game no more (No more)
I thought it would kill me (I thought it would kill me)
But tonight I saved my life when I showed you the door

[Outro]
Mm-mm-mm
Woah, oh, ohEmbed"
25,Who,Jimin,"['K-Pop (케이팝)', 'In English', 'South Korea (대한민국)', 'Genius Korea', 'Pop']","35 ContributorsTranslationsالعربيةDeutschItalianoTürkçeУкраїнськаEspañolWho Lyrics[Chorus]
We never met, but she's all I see at night
Never met, but she's always on my mind
Wanna give her the world and so much more
Who is my heart waiting for?

[Verse 1]
If every day I think about her
Yeah, every day of my life
Then tell me why I haven't found her
(Why, why, why, why, why?)

[Pre-Chorus]
There's so many people to see (There's so many people to see)
And places to go (There's so many places to go)
I still haven't found your love

[Chorus]
We nevеr met, but she's all I see at night
Nevеr met, but she's always on my mind
Wanna give her the world and so much more
Who is my heart waiting for?

[Verse 2]
I'll take her places they ain't found yet
I'll put it all on the line
I'll be that someone she can count on
One, two, three, four, five
You might also like[Pre-Chorus]
There's so many people to see (There's so many people to see)
And places to go (There's so many places to go)
I still haven't found your love

[Chorus]
We never met, but she's all I see at night
Never met, but she's always on my mind
Wanna give her the world and so much more
Who is my heart waiting for?
Is she someone that I see every day?
Is she somewhere a thousand miles away?
Wanna give her the world and so much more
Who is my heart waiting for?

[Bridge]
(Who is my heart) Heart waiting for?
(Who is my heart) Heart waiting for?
(Who is my heart) Heart waiting for?
(Who is my—) Who is my heart waiting for?

[Chorus]
We never met, but she's all I see at night
Never met, but she's always on my mind
Wanna give her the world and so much more
Who is my heart waiting for?
Is she someone that I see every day?
Is she somewhere a thousand miles away?
Wanna give her the world and so much more
Who is my heart waiting for?Embed"
26,Kehlani,Jordan Adetunji,"['UK Drill', 'UK Rap', 'UK', 'Ireland', 'In English', 'Irish Rap', 'Irish Drill', 'Northern Ireland', 'Drill', 'Rap']","31 ContributorsTranslationsDeutschKEHLANI Lyrics[Intro: Summer Walker]
(Wock)
You got, you, you got potential
You got, you, you got potential

[Chorus: Jordan Adetunji]
I like the way your body is (I do), is that too obvious?
Okay, I like your confidence (I do), oh, that's what good karma is, okay
Like-like Kehlani is (Uh-huh), bad just like Kehlani is, okay (Uh-huh)
Here where the party is (Uh-huh), right here where the party is
You 'bout to, you 'bout to start a whole fire, uh (Fire)
Now I'm on fire, uh, I need some water, need Tyla, uh
I need Romani, Rebecca, Serena, Selena, let's start a whole choir, uh
I like the way that you get your own bag, you don't need no one help you inspire, huh

[Verse 1: Jordan Adetunj]
But I'ma add to you, I'ma givе you some bands, I'ma add to you (To you)
Been on the avenuе and I ain't never seen no one bad as you (Nobody bad)
Baby, I'm savage too, they can't disrespect you, I'll gladly shoot (Uh-huh)
I don't play about mine, I don't care, I'm addicted to you and it's clear

[Chorus: Jordan Adetunj]
I like the way your body is (I do), is that too obvious?
Okay, I like your confidence (I do), oh, that's what good karma is, okay
Like-like Kehlani is (Uh-huh), bad just like Kehlani is, okay (Uh-huh)
Here where the party is (Uh-huh), right here where the party is
You 'bout to, you 'bout to start a whole fire, uh (Fire)
Now I'm on fire, uh (Uh-huh), I need some water, need Tyla, uh (Uh-huh)
I need Romani, Rebecca, Serena, Selena, let's start a whole choir, uh
I like the way that you get your own bag, you don't need no one help you inspire, huh
You might also like[Verse 2: Jordan Adetunj]
Baby, let's make a movie (Let's make a movie)
Come and seduce me (Uh-huh)
Know that I'm choosy (Uh)
I need to you to back it up
Make it clap, that ain't fast enough
You know I'm man enough
And I don't play about it
You know that I'm 'bout it

[Chorus: Jordan Adetunj]
I like the way your body is (I do), is that too obvious?
Okay, I like your confidence (I do), oh, that's what good karma is, okay
Like-like Kehlani is (Uh-huh), bad just like Kehlani is, okay (Uh-huh)
Here where the party is (Uh-huh), right here where the party is
You 'bout to, you 'bout to start a whole fire, uh (Fire)
Now I'm on fire, uh, I need some water, need Tyla, uh
I need Romani, Rebecca, Serena, Selena, let's start a whole choir, uh
I like the way that you get your own bag, you don't need no one help you inspire, huh

[Outro: Summer Walker]
You got, you—
You got, you—Embed"
27,Stargazing,Myles Smith,"['Pop-Rock', 'Folk Pop', 'Singer-Songwriter', 'UK Pop', 'UK', 'In English', 'Folk', 'Pop']","20 ContributorsTranslationsDeutschEspañolNorsk (bokmål / riksmål)Stargazing Lyrics[Intro]
Ooh-ooh, ooh-ooh, ooh-ooh

[Verse 1]
Time stood still just like a photograph
You made me feel like this would last forever
Lookin' in your eyes
I see my whole life

[Pre-Chorus]
Oh, oh
They say you know it when you know it, and I know
Oh, oh
Promise that you'll hold me close, don't let me go (Hey)

[Chorus]
Take my heart, don't break it
Love me to my bones
All this time I've wasted
You were right there all along
You and I stargazin'
Intertwinin' souls
We were never strangers
You were right therе all along

[Verse 2]
I lose my mind
When I'm around you, how I come alivе
When I'm without you, I can't help but feel so lost
I wanna give you all I've got
You might also like[Pre-Chorus]
Oh, oh
They say you know it when you know it, and I know
Oh, oh
Promise that you'll hold me close, don't let me go (Hey!)

[Chorus]
Take my heart, don't break it
Love me to my bones
All this time I've wasted
You were right there all along
You and I stargazin'
Intertwinin' souls
We were never strangers
You were right there all along

[Bridge]
Ooh-ooh, ooh-ooh, ooh-ooh
All along
Ooh-ooh, ooh-ooh, ooh-ooh

[Chorus]
Take my heart, don't break it
Love me to my bones
All this time I've wasted
You were right there all alongEmbed"
28,Wildflower,Billie Eilish,"['Folk', 'Slowcore', 'R&B', 'Alternative R&B', 'Chillout', 'Lounge', 'Pop', 'Ballad', 'Folk Pop', 'Acoustic', 'Alternative Pop', 'Alternative', 'USA', 'In English']","103 ContributorsTranslationsPortuguêsالعربيةHebrewEspañolTürkçeΕλληνικάDeutschItalianoPolskiFrançaisРусскийBahasa IndonesiaУкраїнськаNorsk (bokmål / riksmål)WILDFLOWER Lyrics[Verse 1]
Things fall apart
And time breaks your heart
I wasn't there, but I know
She was your girl
You showed her the world
But fell out of love and you both let go

[Pre-Chorus]
She was cryin’ on my shoulder
All I could do was hold her
Only made us closer until July
Now, I know that you love me
You don't need to remind me
I should put it all behind me, shouldn't I?

[Chorus]
But I see her in the back of my mind
All the time
Like a fever, like I’m burning alive
Like a sign
Did I cross the line?
(Mm) Hmm

[Verse 2]
Well, good things don't last (Good things don't last)
And life moves so fast (Life moves so fast)
I'd never ask who was better (I'd never ask who was better)
'Cause she couldn't be (Couldn't)
More different from me (Different)
Happy and free in leather (Happy)
See Billie Eilish LiveGet tickets as low as $135You might also like[Pre-Chorus]
And I know that you love me (You love me)
You don’t need to remind me (Remind me)
Wanna put it all behind me, but baby

[Chorus]
I see her in the back of my mind (Back of my mind)
All the time (All the time)
Feels like a fever (Like a fever), like I’m burning alive (Burning alive)
Like a sign
Did I cross the line?

[Bridge]
You say no one knows you so well (Oh)
But every time you touch me, I just wonder how she felt
Valentine's Day, cryin’ in the hotel
I know you didn't mean to hurt me, so I kept it to myself
[Chorus]
And I wonder
Do you see her in the back of your mind in my eyes?

[Outro]
You say no one knows you so well
But every time you touch me, I just wonder how she felt
Valentine's Day, cryin' in the hotel
I know you didn’t mean to hurt me, so I kept it to myself8Embed"
29,Pour Me A Drink,Post Malone Featuring Blake Shelton,"['Duet', 'USA', 'In English', 'Country Pop', 'Pop', 'Country']","31 ContributorsTranslationsPolskiDeutschEnglishEspañolPour Me A Drink Lyrics[Verse 1: Post Malone]
Forty hours got me goin' out my mind
Dallas dropped another game in overtime
Caught a ticket speedin' down the 65
Don't know where I'm goin'

[Verse 2: Blake Shelton]
Guess I really went and messed it up again
Now, my baby's goner than the Tulsa wind
Judgin' by the stone-sober state I'm in
Need to crack one wide open

[Chorus: Post Malone]
Somebody pour me a drink, somebody bum me a smoke
I'm 'bout to get on a buzz, I'm 'bout to get on a roll
Yeah, I've been breakin' my back just keepin' up with the Joneses
Y'all know what I mean, and y'all know how it goes
When it's up on a Friday and I'm paid, slide one over my way
I can't even think when I can hear one callin' my name (Hey)

[Post-Chorus: Post Malone]
Somebody pour me a drink
Pour me a drink

[Verse 3: Post Malone & Blake Shelton]
Bourbon-brown eyes tryna get me drunk
Ain't stoppin' 'til the bottle and the job is done
Hey, I think I might've found my future love
Buddy, you should probably buy her one
See Post Malone LiveGet tickets as low as $50You might also like[Chorus: Blake Shelton]
Somebody pour me a drink, somebody bum me a smoke
I'm 'bout to get on a buzz, I'm 'bout to get on a roll
Yeah, I've been breakin' my back just keepin' up with the Joneses
Y'all know what I mean, yeah, y'all know how it goes
When it's up on a Friday and I'm paid, slide one over my way
I can't even think when I can hear one callin' my name (Hey)

[Post-Chorus: Blake Shelton]
Somebody pour me a drink
Somebody pour me a drink

[Bridge: Post Malone]
Ooh, ooh, ooh

[Chorus: Post Malone & Blake Shelton]
Somebody pour me a drink, somebody bum me a smoke
I'm 'bout to get on a buzz, I'm 'bout to get on a roll
Yeah, I've been breakin' my back just keepin' up with the Joneses
Y'all know what I mean, yeah, y'all know how it goes
When it's up on a Friday and I'm paid, slide one over my way
I can't even think when I can hear one callin' my name (Hey)

[Post-Chorus: Post Malone & Blake Shelton]
Somebody pour me a drink
Somebody pour me a drink
Yeah, somebody pour me a drink
[Outro: Post Malone & Blake Shelton]
Hey
Yes, sir
Pour me a drink
I'm on it, buddy
Pour me a drink1Embed"
30,You Look Like You Love Me,Ella Langley Featuring Riley Green,['Pop'],"8 ContributorsTranslationsDeutsch​you look like you love me Lyrics[Verse 1: Ella Langley]
I was all but twenty-two, I think at the time
I'd been out on the road lonely at night
And it'd been a while, huh, so it was on my mind
Well, I saw him walk in with his cowboy hat
And I thought to myself, ""I could use some of that""
His boots like glass on a sawdust floor, huh
Had moves like nothin' I'd ever seen before
So I walked right up, and I pulled him to the side
I handed that man a beer and looked him in the eyes
And I said, ""Baby, I think you're gonna wanna hear this""
Then I told him

[Chorus: Ella Langley]
""Excuse me
You look like you love me
You look like you want me to want you to come on home
And, baby, I don't blame you
For lookin' me up and down across this room
I'm drunk and I'm ready to leavе
And you look like you love me""

[Verse 2: Riley Green]
Wеll, I was down at a local beer joint with a few of the guys
When this cute little country girl caught my eye
And, boy, let me tell you
She was the prettiest thing I'd ever seen in a pair of boots
Well, she walked right up to me, handed me a beer
Gave me a look like, ""Let's get outta here""
And that's when I realized that she was every cowboy's dream come true
She told me this right here
She said
You might also like[Chorus: Ella Langley & Riley Green, Ella Langley]
""Excuse me
You look like you love me
You look like you want me to want you to come on home
And, baby, I don't blame you
For lookin' me up and down across this room
I'm drunk and I'm ready to leave
And you look like you love me""
Alright, now

[Instrumental Break]

[Bridge: Ella Langley]
So if you ever see a man in a cowboy hat
And you think to yourself, ""I could use some of that""
Don't waste your time
Just give him this here line
Goes a little like this

[Chorus: Ella Langley, Ella Langley & Riley Green]
""Excuse me
You look like you love me
You look like you want me to want you to come on home
And, baby, I don't blame you
For lookin' me up and down across this room
I'm drunk and I'm ready to leave
And you look like you love me
I'm drunk and I'm ready to leave
And you look like you love me""Embed"
31,"I Love You, I'm Sorry",Gracie Abrams,"['Alternative Pop', 'Alternative', 'Folk Pop', 'Chamber Folk', 'Ballad', 'Singer-Songwriter', 'In English', 'USA', 'Pop']","52 ContributorsTranslationsУкраїнськаItalianoPolskiPortuguêsFrançaisTürkçeDeutschРусскийEspañolI Love You, I’m Sorry Lyrics[Verse 1]
Two Augusts ago
I told the truth, oh, but you didn't like it, you went home
You're in your Benz, I'm by the gate
Now you go alone
Charm all the people you train for, you mean well but aim low
And I'll make it known like I'm getting paid

[Chorus]
That's just the way life goes
I like to slam doors closed
Trust me, I know it's always about me
I love you, I'm sorry

[Verse 2]
Two summers from now
We'll have been talking, but not all that often, we're cool now
I'll be on a boat, you're on a plane going somewhere, same
And I'll have a drink
Wistfully lean out my window and watch the sun set on the lake
I might not feel real, but it's okay, mm

[Chorus]
'Cause that's just the way life goes
I push my luck, it shows
Thankful you don't send someone to kill me
I love you, I'm sorry
See Gracie Abrams LiveGet tickets as low as $76You might also like[Bridge]
You were the best but you were the worst
As sick as it sounds, I loved you first
I was a dick, it is what it is
A habit to kick, the age-old curse
I tend to laugh whenever I'm sad
I stare at the crash, it actually works
Making amends, this shit never ends
I'm wrong again, wrong again

[Chorus]
The way life goes
Joyriding down our road
Lay on the horn to prove that it haunts me
(I'm wrong again, wrong again)
I love you, I'm sorry
The way life goes
(You were the best but you were the worst)
(As sick as it sounds, I loved you first)
I wanna speak in code
(I was a dick, it is what it is)
(A habit to kick, the age-old curse)
Hope that I don't, won't make it about me
(I tend to laugh whenever I'm sad)
(I stare at the crash, it actually works)
I love you, I'm sorry2Embed"
32,TGIF,GloRilla,"['USA', 'Hip-Hop', 'Dirty South', 'Southern Rap', 'Memphis Rap', 'In English', 'Trap', 'Rap']","34 ContributorsTGIF Lyrics[Intro]
GloRilla
On the gang, gang
Huh, uh, uh, uh (Chaii's hard)
Ayy

[Chorus]
It's 7 p.m. Friday (Yup)
It's ninety-five degrees (Woo)
I ain't got no nigga and no nigga ain't got me (Let's go)
I'm 'bout to show my ass (Baow)
These niggas love a freak (Uh)
How the fuck is that your man (Huh?)
If he right here with me? (The fuck? Ayy)

[Refrain]
Turnt up with my niggas (Ayy)
Turnt up with my bitches (Ayy)
Turnt up at my shows, yeah
Cuzzo got that blicky (Ayy)
Sixty thousand fans came to see me do my dance (Huh)
Got a million and one haters, and they all can kiss my ass (Mwah)

[Verse 1]
Turnt up with my niggas (Ayy)
Turnt up with my bitches (Ayy)
Turnt up at my shows, yeah
Cuzzo right here with me (Ayy, cuh)
Off a fifth of Hen', yeah, gettin' fucked up with my twin
Got a Backwood full of 'Za and a bankroll full of bands
All that, all that Twitter typin', bitches see me and ain't do nothin' (Weak ass)
Crop top with some bikers shorts, I'm showin' off my moose knuckle (Woo)
I'm feelin' good today (Yeah)
I'm outsidе with your bae (Uh-huh)
Got a brown-skin nigga with dreads (Okay)
And a black-ass nigga with waves (Lеt's go, ayy)
He gon' drop that neck (Ayy)
He love the way I sex (Ayy)
Fake nails, bitches pressed (Ayy)
So high, I'm damn-near wrecked (Ayy)
I keep this pussy fresh (Ayy)
Yeezy shirt, I'm wet (Ayy)
Who want smoke? Say what? (Ayy)
Ho, get that off your chest (The fuck?)
See GloRilla LiveGet tickets as low as $86You might also like[Refrain]
Turnt up with my niggas (Ayy)
Turnt up with my bitches (Ayy)
Turnt up at my shows, yeah
Cuzzo got that blicky (Ayy)
Sixty thousand fans came to see me do my dance (Huh)
Got a million and one haters, and they all can kiss my ass (Mwah)

[Chorus]
It's 7 p.m. Friday (Yup)
It's ninety-five degrees (Woo)
I ain't got no nigga, and no nigga ain't got me (Let's go)
I'm 'bout to show my ass (Baow)
These niggas love a freak (Huh?)
How the fuck is that your man (Huh?)
If he right here with me? (Eww)

[Verse 2]
Friday night, hot as hell, and you know the hoes out (Where they at?)
Mani-pedi, fresh set, and I got my toes out (Pff)
I'm rockin' Off-White (Hey) on an off night (Uh-huh)
These bitches with me pretty (Yeah), and they all can fight, yeah (Ayy)
Fuck you mean? Forty inches, six-thirteen (Hey)
I'm lookin' fine as hell (Woah), I'm tryna be seen (Duh)
I'm finna wreck the scene (Huh), I'm off the 17' (Hey)
Turnt up with my nigga 'nem, watch me do my, ah, ah
[Refrain]
Turnt up with my niggas (Ayy)
Turnt up with my bitches (Ayy)
Turnt up at my shows, yeah
Cuzzo got that blick (Ayy)
Sixty thousand fans came to see me do my dance (Huh)
Got a million and one haters, and they all can kiss my ass (Mwah)

[Chorus]
It's 7 p.m. Friday (Yup)
It's ninety-five degrees (Woo)
I ain't got no nigga, and no nigga ain't got me (Let's go)
I'm 'bout to show my ass (Baow)
These niggas love a freak (Eww)
How the fuck is that your man (Huh?)
If he right here with me?

[Outro]
Ew, ew, ew, ew
Ew, ew3Embed"
33,Sailor Song,Gigi Perez,"['USA', 'In English', 'LGBTQ+', 'Independent', 'Alternative', 'Pop']","58 ContributorsTranslationsPortuguêsEspañolDeutschSailor Song Lyrics[Verse 1]
I saw her in the rightest way
Looking like Anne Hathaway
Laughing while she hit her pen and coughed, and coughed
And then she came up to my knees
Begging, ""Baby, would you please
Do the things you said you'd do to me, to me?""

[Chorus]
Oh, won't you kiss me on the mouth and love me like a sailor?
And when you get a taste, can you tell me, what's my flavor?
I don't believe in God, but I believe that you're my savior
My mom says that she's worried, but I'm covered in this favor
And when we're getting dirty, I forget all that is wrong
I sleep so I can see you 'cause I hate to wait so long
I sleep so I can see you, and I hate to wait so long

[Verse 2]
She took my fingers to her mouth
The kind of thing that makes you proud
That nothing else had ever worked out, worked out
And lately, I tried other things
But nothing can capture the sting
Of the venom she's gonna spit out right now, oh

[Chorus]
Oh, won't you kiss me on the mouth and love me like a sailor?
And when you get a taste, can you tell me, what's my flavor?
I don't believe in God, but I believe that you're my savior
I know that you've been worried, but you're dripping in my favor
And when we're getting dirty, I forget all that is wrong
I sleep so I can see you 'cause I hate to wait so long
I sleep so I can see you, and I hate to wait so long
You might also like[Outro]
And we can run away to the walls inside your house
I can be the cat, baby, you can be the mouse
And we can laugh off things that we know nothing about
We can go forever until you wanna sit it out9Embed"
34,I Can Do It With A Broken Heart,Taylor Swift,"['Electro House', 'House', 'Dance', 'Nu Disco', 'Dance-Pop', 'Electro-Pop', 'Electronic', 'Synth-Pop', 'Singer-Songwriter', 'USA', 'In English', 'Pop']","172 ContributorsTranslationsTürkçePortuguêsEspañolالعربيةفارسیСрпскиFrançaisItalianoPolskiDeutschHebrewไทย / Phasa ThaiChinese TraditionalNorsk (bokmål / riksmål)SlovenščinaБеларускаяУкраїнськаI Can Do It With a Broken Heart Lyrics[Verse 1]
I can read your mind
""She's having the time of her life""
There in her glittering prime
The lights refract sequin stars off her silhouette every night
I can show you lies
(One, two, three, four)

[Pre-Chorus]
'Cause I'm a real tough kid
I can handle my shit
They said, ""Babe, you gotta fake it 'til you make it"" and I did
Lights, camera, bitch, smile
Even when you wanna die
He said he'd love me all his life
But that life was too short
Breaking down, I hit the floor
All the piеces of me shatterеd as the crowd was chanting, ""More""
I was grinnin' like I'm winnin'
I was hittin' my marks
'Cause I can do it with a broken heart
(One, two, three, four)
[Chorus]
I'm so depressed, I act like it's my birthday every day
I'm so obsessed with him, but he avoids me like the plague
I cry a lot, but I am so productive, it's an art
You know you're good when you can even do it with a broken heart
See Taylor Swift LiveGet tickets as low as $1,086You might also like[Verse 2]
I can hold my breath
I've been doin' it since he left
I keep finding his things in drawers
Crucial evidence I didn't imagine the whole thing
I'm sure I can pass this test
(One, two, three, four)

[Pre-Chorus]
'Cause I'm a real tough kid
I can handle my shit
They said, ""Babe, you gotta fake it 'til you make it"" and I did
Lights, camera, bitch, smile
In stilettos for miles
He said he'd love me for all time
But that time was quite short
Breaking down, I hit the floor
All the pieces of me shattered as the crowd was chanting, ""More""
I was grinnin' like I'm winnin'
I was hittin' my marks
'Cause I can do it with a broken heart
(One, two, three, four)

[Chorus]
I'm so depressed, I act like it's my birthday every day
I'm so obsessed with him, but he avoids me (He avoids me), like the plague
I cry a lot, but I am so productive, it's an art
You know you're good when you can even do it with a broken heart
[Outro]
You know you're good when you can even do it with a broken heart
You know you're good
And I'm good
'Cause I'm miserable (Haha)
And nobody even knows
Ah, try and come for my job13Embed"
35,Saturn,SZA,"['Pop', 'Dream Pop', 'Alternative Pop', 'Pop-R&B', 'USA', 'In English', 'Psychedelic Soul', 'Alternative R&B', 'R&B']","103 ContributorsTranslationsDeutschFrançais한국어Tagalog / ᜆᜄᜎᜓᜄ᜔PortuguêsEspañolBahasa IndonesiaSaturn Lyrics[Verse 1]
If there's another universe
Please make some noise (Noise)
Give me a sign (Sign)
This can't be life
If there's a point to losing love
Repeating pain (Why?)
It's all the same (Same)
I hate this place
[Pre-Chorus]
Stuck in this paradigm
Don't believe in paradise
This must be what Hell is like
There's got to be more, got to be more
Sick of this head of mine
Intrusive thoughts, they paralyzе
Nirvana's not as advertised
Therе's got to be more, been here before

[Chorus]
Ooh (Ooh, ooh)
Life's better on Saturn
Got to break this pattern
Of floating away
Ooh (Ooh, ooh)
Find something worth saving
It's all for the taking
I always say
See SZA LiveGet tickets as low as $89You might also like[Post-Chorus]
I'll be better on Saturn
None of this matters
Dreaming of Saturn, oh

[Verse 2]
If karma's really real
How am I still here?
Just seems so unfair
I could be wrong though
If there's a point to being good
Then where's my reward?
The good die young and poor
I gave it all I could

[Pre-Chorus]
Stuck in this terradome (Ooh)
All I see is terrible (Ooh)
Making us hysterical (Ooh)
There's got to be more, got to be more
Sick of this head of mine (Ooh)
Intrusive thoughts, they paralyze (Ooh)
Nirvana's not as advertised (Ooh)
There's got to be more, been here before

[Chorus]
Ooh (Ooh, ooh)
Life's better on Saturn
Got to break this pattern
Of floating away
Ooh (Ooh, ooh)
Find something worth saving
It's all for the taking
I always say
[Post-Chorus]
I'll be better on Saturn
None of this matters
Dreaming of Saturn, oh

[Outro]
(Ooh, ooh, ooh)
(Ooh, ooh, ooh)10Embed"
36,It's Ok I'm Ok,Tate McRae,"['Pop-R&B', 'R&B', 'Electro-Pop', 'Dance-Pop', 'Canada', 'In English', 'Pop']","32 ContributorsTranslationsEspañolСрпскиPolskiРусскийУкраїнськаБеларускаяDeutschItalianoIt’s ok I’m ok Lyrics[Intro]
Mm
Yeah, uh

[Verse 1]
See you so excited (Mm)
You got him locked down (Mmh, yeah)
You're movin' like I did (Mm)
Before I found out
He ain't just a pretty-faced talker
Good with his money, close to his mother
You're seein' one-sided (Sided)
You got him right now

[Pre-Chorus]
And she be like, ""He's so perfect""
I be like, ""Oh, what version?""
""Ain't nobody got me this nervous""
Oh baby, I been there (Hey)
And right in that same position (Hey)
So, baby, don't get this twisted (Hey)
No, nothin' could make me miss it
Take him, he's yours

[Chorus]
It's okay, I'm okay, had him in the first place
It's okay, I'm okay (I'm okay, yeah, yeah)
It's okay, I'm okay, I don't really gotta say
It's okay (Okay)
See Tate McRae LiveGet tickets as low as $89You might also like[Post-Chorus]
You can have him anyway (Way)
Anyway (Way)
You can have him anyway (Way)
Anyway (Oh, oh, oh, oh)

[Verse 2]
Was such a romantic (Romantic)
You got me like, ""Fuck that""
Some months and some long flights
Now I can't go near that

[Pre-Chorus]
And she be like, ""He's so perfect""
I be like, ""Oh, what version?""
""Ain't nobody got me this nervous""
Oh baby, I've been there (Hey)
And right in that same position (Hey)
So, baby, don't get this twisted (Hey)
No, nothin' could make me miss it
Take him, he's yours

[Chorus]
It's okay, I'm okay, had him in the first place
It's okay, I'm okay (I'm okay)
It's okay, I'm okay, I don't really gotta say
It's okay (Okay)
[Post-Chorus]
You can have him anyway (Way)
Anyway (Way)
You can have him anyway (Way)
Anyway (Way, way, way)

[Chorus]
It's okay, I'm okay, had him in the first place
It's okay, I'm okay (I'm okay, I'm okay)
It's okay, I'm okay, I don't really gotta say (It's okay)
It's okay

[Post-Chorus]
You can have him anyway (Anyway)
Anyway (Anyway)
You can have him anyway (Anyway)
Anyway (Oh, oh, oh, oh)

[Outro]
I don't want him anyway, girl, take him
I don't want him anyway, girl, take him
I don't want him anyway, girl, take him (Girl, just take him)
I don't want him (Yeah, I don't), I don't want him (Yeah, I don't)
I don't want him (Anyway) anyway, girl, take him (Anyway)
I don't want him (Anyway) anyway, girl, take him
I don't, it's okay, it's okay, take him
I don't want him (Yeah, I don't), I don't want him1Embed"
